pl_name,hostname,pl_letter,hd_name,hip_name,tic_id,gaia_dr3_id,ra,dec,sy_dist,sy_snum,sy_pnum,cb_flag,st_teff,st_mass,st_rad,st_lum,pl_rade,pl_bmasse,pl_bmassprov,pl_dens,pl_eqt,pl_insol,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,discoverymethod,disc_year,disc_facility,pl_controv_flag
"11 Com b","11 Com","b","HD 107383","HIP 60202","TIC 72437047","Gaia DR3 3946945413106333696",185.1787793,17.7932516,93.18460000,2,1,0,4874.00,2.090000,13.760000,1.97823,12.20000000,4914.89848585,"Msini",14.900000,803.26,68.5387,323.21000000000,1.1780000000,0.238000,,"Radial Velocity",2007,"Xinglong Station",0
"11 UMi b","11 UMi","b","HD 136726","HIP 74793","TIC 230061010","Gaia DR3 1696798367260229376",229.2745954,71.8239428,125.32100000,1,1,0,4213.00,2.780000,29.790000,2.42951,12.30000000,4684.81420000,"Msini",13.800000,896.43,114.8502,516.21997000000,1.5300000000,0.080000,,"Radial Velocity",2009,"Thueringer Landessternwarte Tautenburg",0
"14 And b","14 And","b","HD 221345","HIP 116076","TIC 333225860","Gaia DR3 1920113512486282240",352.8241500,39.2358367,75.43920000,1,1,0,4888.00,1.780000,11.550000,1.83992,13.10000000,1131.15130051,"Msini",2.760000,909.92,115.1634,186.76000000000,0.7750000000,0.000000,,"Radial Velocity",2008,"Okayama Astrophysical Observatory",0
"14 Her b","14 Her","b","HD 145675","HIP 79248","TIC 219483057","Gaia DR3 1385293808145621504",242.6021014,43.8163621,17.93230000,1,2,0,5338.00,0.970000,0.930000,-0.15273,12.50000000,2828.67282230,"Mass",7.960000,147.32,0.0873,1766.41000000000,2.8390000000,0.368300,146.70000,"Radial Velocity",2002,"W. M. Keck Observatory",0
"16 Cyg B b","16 Cyg B","b","HD 186427","HIP 96901","TIC 27533327","Gaia DR3 2135550755683407232",295.4656422,50.5168243,21.13970000,3,1,0,5750.00,1.080000,1.130000,0.09729,13.50000000,565.73740000,"Msini",1.260000,228.76,0.4540,798.50000000000,1.6600000000,0.680000,,"Radial Velocity",1996,"Multiple Observatories",0
"17 Sco b","17 Sco","b",,"HIP 79540","TIC 135596590","Gaia DR3 4342464209753404416",243.4620874,-11.8377905,124.95300000,1,1,0,4157.00,1.220000,25.920000,2.25435,12.90000000,1373.01871824,"Msini",3.510000,847.51,85.4316,578.38000000000,1.4500000000,0.060000,,"Radial Velocity",2020,"Lick Observatory",0
"18 Del b","18 Del","b","HD 199665","HIP 103527","TIC 354489950","Gaia DR3 1756741374681702784",314.6078375,10.8391378,76.22200000,2,1,0,4980.00,2.100000,8.800000,1.63367,12.50000000,2926.24614325,"Msini",8.230000,452.72,7.0173,982.85000000000,2.4760000000,0.024000,,"Radial Velocity",2008,"Okayama Astrophysical Observatory",0
"1RXS J160929.1-210524 b","1RXS J160929.1-210524","b",,,"TIC 48964101","Gaia DR3 6243841249531772800",242.3762343,-21.0831403,139.13500000,1,1,0,4060.00,0.850000,1.313160,-0.37000,18.64700000,3000.00000000,"Mass",2.540000,1700.00,0.0000,,330.0000000000,,,"Imaging",2008,"Gemini Observatory",0
"24 Boo b","24 Boo","b","HD 127243","HIP 70791","TIC 441712711","Gaia DR3 1603662211901473408",217.1555242,49.8446488,95.98630000,1,1,0,4816.00,1.050000,12.190000,1.87691,13.90000000,280.64248338,"Msini",0.574000,1840.86,2001.2754,30.33000000000,0.1940000000,0.032000,,"Radial Velocity",2018,"Okayama Astrophysical Observatory",0
"24 Sex b","24 Sex","b","HD 90043","HIP 50887","TIC 1713457","Gaia DR3 3830897080395058048",155.8684866,-0.9023998,72.06910000,1,2,0,5098.00,1.540000,4.900000,1.16400,13.40000000,632.46000000,"Msini",1.440000,471.32,8.2099,452.80000000000,1.3330000000,0.090000,,"Radial Velocity",2010,"Lick Observatory",0
"24 Sex c","24 Sex","c","HD 90043","HIP 50887","TIC 1713457","Gaia DR3 3830897080395058048",155.8684866,-0.9023998,72.06910000,1,2,0,5098.00,1.540000,4.900000,1.16400,13.90000000,273.32000000,"Msini",0.559000,377.31,3.3719,883.00000000000,2.0800000000,0.290000,,"Radial Velocity",2010,"Lick Observatory",0
"2M0437 b","2MASS J04372171+2651014","b",,,"TIC 125843782","Gaia DR3 151499478104075008",69.3405531,26.8502997,128.48400000,1,1,0,3100.00,0.170000,0.840000,-1.16368,13.00000000,1271.31362800,"Mass",3.180000,1450.00,0.0000,,118.0000000000,,,"Imaging",2021,"Subaru Telescope",0
"2MASS J01033563-5515561 AB b","2MASS J01033563-5515561 A","b",,,"TIC 206502540",,15.8992489,-55.2658291,47.20000000,2,1,1,,0.190000,,,12.30000000,4131.79000000,"Mass",12.200000,,,,84.0000000000,,,"Imaging",2013,"Paranal Observatory",0
"2MASS J01225093-2439505 b","2MASS J01225093-2439505","b",,,"TIC 11614485","Gaia DR3 5040416186560252416",20.7128012,-24.6646128,33.82810000,1,1,0,3530.00,0.400000,0.366450,-1.72000,11.20900000,7786.50000000,"Mass",30.400000,1600.00,0.0000,,52.0000000000,,,"Imaging",2013,"W. M. Keck Observatory",0
"2MASS J02192210-3925225 b","2MASS J02192210-3925225","b",,,"TIC 77111651","Gaia DR3 4963614887043956096",34.8427046,-39.4230767,40.08964117,1,1,0,3064.00,0.108000,0.281000,-2.23000,16.14096000,4417.83700000,"Mass",5.770000,6.27,0.0000,,156.0000000000,,,"Imaging",2015,"Cerro Tololo Inter-American Observatory",0
"2MASS J0249-0557 c","2MASS J0249-0557 A","c",,,"TIC 10930507","Gaia DR3 5183875103632956032",42.4851627,-5.9599921,66.06130000,2,1,1,2859.00,0.046000,0.315959,-2.59000,17.37392009,3616.88727166,"Mass",3.790000,1723.00,0.0000,,1950.0000000000,,,"Imaging",2018,"Mauna Kea Observatory",0
"2MASS J03590986+2009361 b","2MASS J03590986+2009361","b",,,"TIC 14183352","Gaia DR3 51369428065705600",59.7911026,20.1599759,117.43500000,1,1,0,2943.00,0.264996,0.289776,-2.24602,12.20000000,5720.91132600,"Mass",17.300000,2369.00,0.0000,,572.0000000000,,,"Imaging",2024,"European Space Agency (ESA) Gaia Satellite",0
"2MASS J04414489+2301513 b","2MASS J04414489+2301513","b",,,"TIC 118893899","Gaia DR3 146487556211644544",70.4371079,23.0308544,120.42398696,1,1,0,2936.00,0.019000,0.231916,-2.44363,12.60000000,2383.60000000,"Mass",6.550000,17.60,0.0000,,15.0000000000,,,"Imaging",2010,"Hubble Space Telescope",0
"2MASS J11011926-7732383 b","2MASS J11011926-7732383","b",,,"TIC 454227159","Gaia DR3 5201185574182015744",165.3295388,-77.5440912,,1,1,0,,,,,11.90000000,8899.19539600,"Mass",29.000000,2677.00,,,266.0000000000,,,"Imaging",2024,"European Space Agency (ESA) Gaia Satellite",0
"2MASS J11550485-7919108 b","2MASS J11550485-7919108","b",,,"TIC 357014373","Gaia DR3 5199985216726016896",178.7691634,-79.3197558,100.86200000,1,1,0,3021.00,0.588460,0.600455,-1.56774,12.10000000,6356.56814000,"Mass",19.700000,2506.00,0.0000,,587.0000000000,,,"Imaging",2024,"European Space Agency (ESA) Gaia Satellite",0
"2MASS J12073346-3932539 b","2MASS J12073346-3932539","b",,,"TIC 102076870","Gaia DR3 3459372646830687104",181.8890906,-39.5484399,64.30800000,1,1,0,2825.00,0.188001,0.218870,-2.56086,15.69257298,1652.70771640,"Mass",2.350000,1163.00,0.0000,,46.0000000000,,,"Imaging",2004,"Paranal Observatory",0
"2MASS J19383260+4603591 b","2MASS J19383260+4603591","b",,,"TIC 271164763","Gaia DR3 2080063931448749824",294.6359173,46.0664076,396.33200000,2,3,1,29564.00,0.480000,0.203000,1.45000,13.40000000,603.87700000,"Mass",1.380000,669.65,33.2985,406.00000000000,0.9200000000,0.330000,,"Eclipse Timing Variations",2015,"Kepler",0
"2MASS J21252752-8138278 b","2MASS J21252752-8138278","b",,,"TIC 273305007","Gaia DR3 6348514275456913792",321.3662989,-81.6414894,34.11540000,1,1,0,3592.00,0.643977,0.672832,-1.16815,12.40000000,3813.94088400,"Mass",11.000000,1616.00,0.0000,,7493.0000000000,,,"Imaging",2024,"European Space Agency (ESA) Gaia Satellite",0
"2MASS J22362452+4751425 b","2MASS J22362452+4751425","b",,,"TIC 200532605","Gaia DR3 1986772848034988544",339.1025931,47.8616830,69.57370000,1,1,0,4045.00,0.600000,0.641152,-1.02143,12.30000000,3972.87500000,"Mass",11.700000,10.30,0.0000,,230.0000000000,,,"Imaging",2016,"W. M. Keck Observatory",0
"2MASS J22501512+2325342 b","2MASS J22501512+2325342","b",,,"TIC 435830255","Gaia DR3 2837047214379099904",342.5634097,23.4259058,57.23090000,1,1,0,3352.00,0.433173,0.437589,-1.66196,11.90000000,9534.85221000,"Mass",31.100000,1600.00,0.0000,,518.0000000000,,,"Imaging",2018,"The 2 (Two) Micron All Sky Survey (2MASS)",0
"4 UMa b","4 UMa","b","HD 73108","HIP 42527","TIC 356478817","Gaia DR3 1092230803512999424",130.0528099,64.3280504,73.46030000,1,1,0,4415.00,1.234000,18.110000,2.06236,12.60000000,2511.48007211,"Msini",6.900000,967.44,150.0929,270.27000000000,0.8770000000,0.453000,,"Radial Velocity",2006,"Thueringer Landessternwarte Tautenburg",0
"47 UMa b","47 UMa","b","HD 95128","HIP 53721","TIC 21535479","Gaia DR3 777254360337133312",164.8647611,40.4304931,13.79670000,1,3,0,5872.00,1.060000,1.213340,0.19780,13.20000000,804.08000000,"Msini",1.920000,215.23,0.3576,1078.00000000000,2.1000000000,0.032000,,"Radial Velocity",1996,"Lick Observatory",0
"47 UMa c","47 UMa","c","HD 95128","HIP 53721","TIC 21535479","Gaia DR3 777254360337133312",164.8647611,40.4304931,13.79670000,1,3,0,5872.00,1.060000,1.213340,0.19780,14.20000000,171.62100000,"Msini",0.329000,164.38,0.1217,2391.00000000000,3.6000000000,0.098000,,"Radial Velocity",2001,"Lick Observatory",0
"47 UMa d","47 UMa","d","HD 95128","HIP 53721","TIC 21535479","Gaia DR3 777254360337133312",164.8647611,40.4304931,13.79670000,1,3,0,5872.00,1.060000,1.213340,0.19780,13.50000000,521.22000000,"Msini",1.160000,91.58,0.0117,14002.00000000000,11.6000000000,0.160000,,"Radial Velocity",2009,"Lick Observatory",0
"51 Eri b","51 Eri","b","HD 29391","HIP 21547","TIC 298810162","Gaia DR3 3205095125321700480",69.4007424,-2.4738245,29.75750000,3,1,0,7422.00,1.750000,1.450000,0.75740,,3464.32963630,"Mass",,807.00,0.0529,9100.00000000000,10.4000000000,0.570000,141.00000,"Imaging",2015,"Gemini Observatory",0
"51 Peg b","51 Peg","b","HD 217014","HIP 113357","TIC 139298196","Gaia DR3 2835207319109249920",344.3675399,20.7690958,15.46140000,1,1,0,5761.00,1.070000,1.190000,0.13631,14.10000000,193.87532827,"Mass",0.380000,1328.93,506.1775,4.23079660000,0.0520000000,0.006300,49.80000,"Radial Velocity",1995,"Haute-Provence Observatory",0
"55 Cnc B b","55 Cnc B","b",,,"TIC 332064684","Gaia DR3 704966762213039488",133.1679080,28.3152863,12.47730000,2,7,0,3286.00,0.260000,0.274000,-2.10811,1.69000000,3.50000000,"Msini",3.980000,395.41,4.0271,6.79940000000,0.0440000000,0.000000,,"Radial Velocity",2025,"Mauna Kea Observatory",0
"55 Cnc B c","55 Cnc B","c",,,"TIC 332064684","Gaia DR3 704966762213039488",133.1679080,28.3152863,12.47730000,2,7,0,3286.00,0.260000,0.274000,-2.10811,2.16000000,5.30000000,"Msini",2.890000,230.04,0.4613,33.74700000000,0.1300000000,0.000000,,"Radial Velocity",2025,"Mauna Kea Observatory",0
"55 Cnc b","55 Cnc","b","HD 75732","HIP 43587","TIC 332064670","Gaia DR3 704967037090946688",133.1468373,28.3298154,12.58550000,2,7,0,5198.00,1.015000,0.980000,-0.19695,13.90000000,263.97850000,"Mass",0.540000,700.00,45.6336,14.65155200000,0.1180000000,0.002900,89.73000,"Radial Velocity",1996,"Lick Observatory",0
"55 Cnc c","55 Cnc","c","HD 75732","HIP 43587","TIC 332064670","Gaia DR3 704967037090946688",133.1468373,28.3298154,12.58550000,2,7,0,5198.00,1.015000,0.980000,-0.19695,8.51000000,54.47380000,"Mass",0.486000,499.27,10.4149,44.39360000000,0.2470000000,0.088000,89.73000,"Radial Velocity",2004,"McDonald Observatory",0
"55 Cnc d","55 Cnc","d","HD 75732","HIP 43587","TIC 332064670","Gaia DR3 704967037090946688",133.1468373,28.3298154,12.58550000,2,7,0,5198.00,1.015000,0.980000,-0.19695,13.00000000,1232.49300000,"Mass",3.080000,104.85,0.0203,4799.00000000000,5.6000000000,0.091300,89.73000,"Radial Velocity",2002,"Lick Observatory",0
"55 Cnc e","55 Cnc","e","HD 75732","HIP 43587","TIC 332064670","Gaia DR3 704967037090946688",133.1468373,28.3298154,12.58550000,2,7,0,5172.00,0.905000,0.943000,-0.19695,1.87500000,7.99000000,"Mass",6.660000,1958.00,2657.8322,0.73654740000,0.0154400000,0.050000,83.59000,"Radial Velocity",2004,"McDonald Observatory",0
"55 Cnc f","55 Cnc","f","HD 75732","HIP 43587","TIC 332064670","Gaia DR3 704967037090946688",133.1468373,28.3298154,12.58550000,2,7,0,5198.00,1.015000,0.980000,-0.19695,7.59000000,44.81200000,"Mass",0.563000,277.07,0.9879,260.58000000000,0.8020000000,0.063000,89.73000,"Radial Velocity",2007,"Multiple Observatories",0
"6 Lyn b","6 Lyn","b","HD 45410","HIP 31039","TIC 444865362","Gaia DR3 1004358968092652544",97.6960311,58.1611753,54.65990000,1,1,0,4941.00,1.320000,4.940000,1.11860,13.40000000,597.83523357,"Msini",1.370000,371.86,3.1949,919.86000000000,2.0280000000,0.042000,,"Radial Velocity",2008,"Okayama Astrophysical Observatory",0
"61 Vir b","61 Vir","b","HD 115617","HIP 64924","TIC 422478973","Gaia DR3 3507879565090229888",199.5964550,-18.3157745,8.50332000,1,3,0,5577.00,0.942000,0.963000,-0.09500,2.11000000,5.10000000,"Msini",2.980000,1177.85,318.8418,4.21500000000,0.0502010000,0.120000,,"Radial Velocity",2009,"Multiple Observatories",0
"61 Vir c","61 Vir","c","HD 115617","HIP 64924","TIC 422478973","Gaia DR3 3507879565090229888",199.5964550,-18.3157745,8.50332000,1,3,0,5577.00,0.942000,0.963000,-0.09500,4.46000000,18.20000000,"Msini",1.130000,565.87,16.9856,38.02100000000,0.2175000000,0.140000,,"Radial Velocity",2009,"Multiple Observatories",0
"61 Vir d","61 Vir","d","HD 115617","HIP 64924","TIC 422478973","Gaia DR3 3507879565090229888",199.5964550,-18.3157745,8.50332000,1,3,0,5577.00,0.942000,0.963000,-0.09500,5.11000000,22.90000000,"Msini",0.943000,382.51,3.5464,123.01000000000,0.4760000000,0.350000,,"Radial Velocity",2009,"Multiple Observatories",0
"7 CMa b","7 CMa","b","HD 47205","HIP 31592","TIC 48237215","Gaia DR3 2939555954755196160",99.1712760,-19.2561808,19.81010000,1,2,0,4826.00,1.340000,4.870000,1.06258,13.40000000,587.98550000,"Msin(i)/sin(i)",1.340000,387.33,3.7372,735.10000000000,1.7580000000,0.060000,90.00000,"Radial Velocity",2011,"Anglo-Australian Telescope",0
"7 CMa c","7 CMa","c","HD 47205","HIP 31592","TIC 48237215","Gaia DR3 2939555954755196160",99.1712760,-19.2561808,19.81010000,1,2,0,4826.00,1.340000,4.870000,1.06258,13.90000000,276.51210000,"Msin(i)/sin(i)",0.566000,350.00,2.4917,996.00000000000,2.1530000000,0.080000,90.00000,"Radial Velocity",2019,"Multiple Observatories",0
"70 Vir b","70 Vir","b","HD 117176","HIP 65721","TIC 95473936","Gaia DR3 3740176925743994752",202.1064898,13.7763085,17.90110000,1,1,0,5495.00,1.090000,1.890000,0.45130,12.60000000,2380.45000000,"Mass",6.540000,525.24,12.2183,116.68800000000,0.4810000000,0.398800,,"Radial Velocity",1996,"Lick Observatory",0
"75 Cet b","75 Cet","b","HD 15779","HIP 11791","TIC 251095345","Gaia DR3 2500064286492779264",38.0391598,-1.0350269,82.96130000,2,2,0,4809.00,1.920000,10.380000,1.71450,13.30000000,787.89662095,"Msini",1.840000,540.31,14.1750,696.62000000000,1.9120000000,0.093000,,"Radial Velocity",2012,"Okayama Astrophysical Observatory",0
"75 Cet c","75 Cet","c","HD 15779","HIP 11791","TIC 251095345","Gaia DR3 2500064286492779264",38.0391598,-1.0350269,82.96130000,2,2,0,4809.00,1.920000,10.380000,1.71450,13.90000000,289.85950718,"Msini",0.593000,376.92,3.3569,2051.62000000000,3.9290000000,0.023000,,"Radial Velocity",2023,"Okayama Astrophysical Observatory",0
"8 UMi b","8 UMi","b","HD 133086","HIP 73136","TIC 257005016","Gaia DR3 1700658653802527104",224.2016850,74.9009379,162.55200000,1,1,0,4847.00,1.510000,10.730000,1.72346,13.50000000,524.41687155,"Msini",1.170000,1126.38,247.8402,93.31000000000,0.4620000000,0.062000,,"Radial Velocity",2015,"Bohyunsan Optical Astronomical Observatory",0
"81 Cet b","81 Cet","b","HD 16400","HIP 12247","TIC 35725282","Gaia DR3 2495420602212048640",39.4243555,-3.3963607,101.26000000,1,1,0,4734.00,1.230000,11.210000,1.76027,13.10000000,1051.05854195,"Msini",2.570000,526.92,13.0071,1005.57000000000,2.1040000000,0.037000,,"Radial Velocity",2008,"Okayama Astrophysical Observatory",0
"91 Aqr b","91 Aqr","b","HD 219449","HIP 114855","TIC 4610441","Gaia DR3 2630155547353593216",348.9745031,-9.0878076,44.03040000,3,1,0,4665.00,1.400000,11.000000,1.69239,13.10000000,1017.00000000,"Msini",2.490000,891.73,100.5060,181.40000000000,0.7000000000,0.027000,,"Radial Velocity",2013,"Lick Observatory",0
"AB Aur b","AB Aur","b",,,"TIC 96680681","Gaia DR3 156917493449670656",73.9410446,30.5510888,162.12700000,1,1,0,9770.00,2.400000,2.958870,1.77085,12.50000000,2860.45566300,"Mass",8.050000,83.63,0.0067,,93.9000000000,0.400000,42.60000,"Imaging",2022,"Subaru Telescope",0
"AB Pic b","AB Pic","b","HD 44627","HIP 30034","TIC 260351540","Gaia DR3 5495052596695570816",94.8039208,-58.0541184,50.04750000,1,1,0,5285.00,0.900000,0.999394,-0.22631,12.30000000,4290.50000000,"Mass",12.700000,15.80,0.0000,,260.0000000000,,,"Imaging",2005,"Paranal Observatory",0
"AF Lep b","AF Lep","b","HD 35850","HIP 25486","TIC 94945758","Gaia DR3 3009908378049913216",81.7699216,-11.9011752,26.85640000,1,1,0,6140.00,1.218000,1.250000,0.29000,13.00000000,1147.36054927,"Mass",2.870000,1400.00,0.0241,8905.00000000000,8.9960000000,0.015000,57.50000,"Imaging",2023,"Paranal Observatory",0
"AT2021ueyL b","AT2021ueyL","b",,,,,324.5450417,26.4665694,1040.00000000,1,1,0,3680.00,0.490000,,,13.60000000,425.89006538,"Mass",0.930000,,,4168.69000000000,4.0100000000,,,"Microlensing",2025,"Multiple Observatories",0
"AU Mic b","AU Mic","b","HD 197481","HIP 102409","TIC 441420236","Gaia DR3 6794047652729201024",311.2911369,-31.3424500,9.72210000,1,4,0,3540.00,0.635000,0.862000,-0.97757,4.79000000,8.99000000,"Mass",0.490000,554.80,21.2000,8.46344600000,0.0700000000,0.070000,88.39000,"Transit",2020,"Transiting Exoplanet Survey Satellite (TESS)",0
"AU Mic c","AU Mic","c","HD 197481","HIP 102409","TIC 441420236","Gaia DR3 6794047652729201024",311.2911369,-31.3424500,9.72210000,1,4,0,3540.00,0.635000,0.862000,-0.97757,2.79000000,14.46000000,"Mass",3.900000,424.70,7.3000,18.85902300000,0.1190000000,0.180000,89.46000,"Transit",2021,"Transiting Exoplanet Survey Satellite (TESS)",0
"AU Mic d","AU Mic","d","HD 197481","HIP 102409","TIC 441420236","Gaia DR3 6794047652729201024",311.2911369,-31.3424500,9.72210000,1,4,0,3678.00,0.510000,0.744000,-1.03810,1.02000000,1.05300000,"Mass",5.450000,,,12.73596000000,,0.003050,89.31812,"Transit Timing Variations",2023,"Multiple Observatories",0
"AU Mic e","AU Mic","e","HD 197481","HIP 102409","TIC 441420236","Gaia DR3 6794047652729201024",311.2911369,-31.3424500,9.72210000,1,4,0,3665.00,0.600000,0.820000,-0.99000,4.87000000,21.10000000,"Mass",1.000000,,,33.11000000000,,,,"Radial Velocity",2025,"Mauna Kea Observatory",1
"BD+03 2562 b","BD+03 2562","b",,,"TIC 366659915","Gaia DR3 3895649725336884736",177.5647268,2.7601075,1070.63000000,1,1,0,4095.00,1.140000,32.350000,2.70000,12.70000000,2034.11200000,"Msini",5.460000,985.04,296.5605,481.90000000000,1.3000000000,0.200000,,"Radial Velocity",2017,"Multiple Observatories",0
"BD+05 4868 A b","BD+05 4868 A","b",,"HIP 107587","TIC 466376085","Gaia DR3 2700378125204437760",326.8614036,6.6053185,43.56870000,2,1,0,4596.00,0.700000,0.690000,-0.71670,,6.20000000,"Mass",,1820.00,443.7870,1.27186900000,0.0208000000,,,"Transit",2025,"Transiting Exoplanet Survey Satellite (TESS)",0
"BD+14 4559 b","BD+14 4559","b",,"HIP 104780","TIC 230183006","Gaia DR3 1759623813132980864",318.4010002,14.6893834,49.35200000,1,1,0,4864.00,0.490000,0.860000,-0.32000,13.80000000,330.54320000,"Msini",0.691000,246.28,0.7867,268.94000000000,0.7800000000,0.290000,,"Radial Velocity",2009,"McDonald Observatory",0
"BD+15 2375 b","BD+15 2375","b",,,"TIC 82604982","Gaia DR3 3924009634910406912",176.4820239,14.6163182,768.04500000,1,1,0,4649.00,1.080000,8.950000,1.57000,13.80000000,337.21763000,"Msini",0.705000,883.68,111.9838,153.22000000000,0.5760000000,0.001000,,"Radial Velocity",2016,"Roque de los Muchachos Observatory",0
"BD+15 2940 b","BD+15 2940","b",,"HIP 78407","TIC 393702609","Gaia DR3 1193071962699902336",240.0956400,15.5467507,426.42000000,1,1,0,4796.00,1.100000,14.700000,2.01000,13.70000000,352.78000000,"Msini",0.754000,1207.75,352.2269,137.48000000000,0.5390000000,0.260000,,"Radial Velocity",2013,"McDonald Observatory",0
"BD+20 2457 b","BD+20 2457","b",,,"TIC 95359428","Gaia DR3 625137162857354880",154.1867820,19.8912626,1539.71000000,1,2,0,4137.00,2.800000,49.000000,3.17000,12.10000000,6807.63000000,"Msini",21.100000,1159.67,703.4998,379.63000000000,1.4500000000,0.150000,,"Radial Velocity",2009,"McDonald Observatory",0
"BD+20 2457 c","BD+20 2457","c",,,"TIC 95359428","Gaia DR3 625137162857354880",154.1867820,19.8912626,1539.71000000,1,2,0,4137.00,2.800000,49.000000,3.17000,12.40000000,3963.17000000,"Msini",11.400000,984.96,366.1069,621.99000000000,2.0100000000,0.180000,,"Radial Velocity",2009,"McDonald Observatory",0
"BD+20 274 b","BD+20 274","b",,,"TIC 60923874","Gaia DR3 96530596864007552",25.9203179,21.0052692,1322.51000000,1,1,0,4296.00,0.800000,17.300000,1.96000,13.00000000,1334.88600000,"Msini",3.340000,755.70,53.9651,578.20000000000,1.3000000000,0.210000,,"Radial Velocity",2012,"McDonald Observatory",0
"BD+20 594 b","BD+20 594","b",,,"TIC 26123781","Gaia DR3 58200934326315136",53.6511231,20.5990205,179.46100000,1,1,0,5766.00,1.670000,1.080000,-0.05552,2.57807000,22.24810000,"Mass",7.890000,546.00,15.1513,41.68550000000,0.2410000000,0.000000,89.55000,"Transit",2016,"K2",0
"BD+37 3172 b","BD+37 3172","b",,,"TIC 289572819","Gaia DR3 2096350069476310016",278.8155071,38.1153886,454.25100000,1,1,0,4500.00,3.750000,50.240000,2.84000,12.40000000,3368.98111420,"Msini",9.710000,713.25,31.9959,1887.76000000000,4.6500000000,0.590000,,"Radial Velocity",2023,"McDonald Observatory",0
"BD+42 2315 b","BD+42 2315","b",,,"TIC 376689863","Gaia DR3 1534760078795225728",187.5887597,41.2695674,610.71500000,1,1,0,4500.00,1.380000,17.850000,1.99000,14.20000000,174.80562385,"Msini",0.335000,1247.58,335.1294,123.05000000000,0.5400000000,0.730000,,"Radial Velocity",2023,"McDonald Observatory",0
"BD+45 564 b","BD+45 564","b",,,"TIC 292607437","Gaia DR3 353030751066772480",32.9470485,45.9242187,53.62200000,1,1,0,5004.00,0.810000,0.813064,-0.39918,13.60000000,432.24663352,"Msini",0.944000,238.82,0.5790,307.88000000000,0.8300000000,0.120000,2.57900,"Radial Velocity",2021,"Haute-Provence Observatory",0
"BD+48 738 b","BD+48 738","b",,,"TIC 302069358","Gaia DR3 438899345022759424",40.7102869,49.5869395,871.49300000,1,1,0,4414.00,0.740000,11.000000,1.69000,13.90000000,289.22530000,"Msini",0.592000,705.93,48.9779,392.60000000000,1.0000000000,0.200000,,"Radial Velocity",2011,"McDonald Observatory",0
"BD+48 740 b","BD+48 740","b",,"HIP 12684","TIC 302070274","Gaia DR3 438444868763388800",40.7425426,48.9300579,666.58900000,1,1,0,4534.00,1.090000,10.330000,1.64000,13.50000000,540.31100000,"Msini",1.210000,538.94,15.1044,733.00000000000,1.7000000000,0.760000,,"Radial Velocity",2018,"Multiple Observatories",0
"BD+49 828 b","BD+49 828","b",,,"TIC 116376059","Gaia DR3 439327501725338752",45.6406187,49.7299481,442.04200000,1,1,0,4943.00,1.520000,7.600000,1.47000,13.50000000,508.50000000,"Msini",1.140000,320.63,1.6730,2590.00000000000,4.2000000000,0.350000,,"Radial Velocity",2015,"McDonald Observatory",0
"BD+55 362 b","BD+55 362","b",,,"TIC 453226076","Gaia DR3 412783469966211456",23.9636676,56.6982282,52.56970000,1,1,0,5012.00,0.909000,0.896193,-0.31295,14.00000000,228.83645304,"Msini",0.458000,259.06,0.7996,265.59000000000,0.7800000000,0.270000,0.60120,"Radial Velocity",2021,"Haute-Provence Observatory",0
"BD+60 1417 b","BD+60 1417","b",,,"TIC 159527171","Gaia DR3 1579929906250111232",190.8875453,60.0143636,44.95430000,1,1,0,4993.00,1.000000,0.797000,0.35595,14.68376472,4767.42610500,"Mass",8.270000,1303.00,0.0000,,1662.0000000000,,,"Imaging",2021,"Wide-field Infrared Survey Explorer (WISE) Satellite Mission",0
"BD+63 1405 b","BD+63 1405","b",,"HIP 88617","TIC 233075841","Gaia DR3 2160951157908163968",271.3979337,63.6700064,38.04730000,1,1,0,5000.00,0.816000,0.804724,-0.41295,12.40000000,3305.41543280,"Mass",9.530000,150.69,0.0911,1198.48000000000,2.0600000000,0.880000,5.97400,"Radial Velocity",2021,"Haute-Provence Observatory",0
"BD-06 1339 b","BD-06 1339","b",,"HIP 27803","TIC 66914642","Gaia DR3 3022099969137163904",88.2511811,-5.9963378,20.26950000,1,2,0,4324.00,0.700000,0.686355,-1.02200,,1523.03372634,"Mass",,834.97,51.8934,3.87280000000,0.0428000000,0.000000,0.32430,"Radial Velocity",2013,"La Silla Observatory",1
"BD-06 1339 c","BD-06 1339","c",,"HIP 27803","TIC 66914642","Gaia DR3 3022099969137163904",88.2511811,-5.9963378,20.26950000,1,2,0,4324.00,0.700000,0.686355,-1.02200,8.38000000,53.00000000,"Msini",0.495000,261.91,0.5024,125.94000000000,0.4350000000,0.310000,,"Radial Velocity",2013,"La Silla Observatory",0
"BD-08 2823 b","BD-08 2823","b",,"HIP 49067","TIC 33355302","Gaia DR3 3770419611540574080",150.1971964,-9.5165689,41.33420000,1,2,0,4816.00,0.500000,0.710000,-0.62597,,2948.49413174,"Mass",,798.86,65.7249,5.60000000000,0.0600000000,0.150000,0.27460,"Radial Velocity",2009,"La Silla Observatory",0
"BD-08 2823 c","BD-08 2823","c",,"HIP 49067","TIC 33355302","Gaia DR3 3770419611540574080",150.1971964,-9.5165689,41.33420000,1,2,0,4746.00,0.740000,0.710000,-0.62597,12.50000000,104.00000000,"Msini",0.293000,233.85,0.5117,237.60000000000,0.6800000000,0.190000,,"Radial Velocity",2009,"La Silla Observatory",0
