"WGSN-ID","Name","HIP","RA2000","DE2000","Vmag","type","HR","HD","Bayer/other","constellation","distance from Sun/ ly","B-V color","VmagMax","VmagMin"
"10058","Hunahpú","HIP 55174","165.30","-23.98","8.21","K0 III/IV","","98219","","Crater","490.4741494","0.96","",""
"10059","Amansinaya","","165.40","-23.86","10.28","","","_","WASP-34","Crater","","0.77","",""
"10060","Shama","HIP 55664","165.40","-1.53","9.10","G8/K0 IV","","99109","","Leo","197.1942279","0.87","",""
"10061","Sagarmatha","HIP 56572","165.60","-4.76","8.42","G8 V","","100777","","Leo","172.210641","0.78","",""
"10062","Uklun","HIP 57291","165.75","-58.70","7.47","G6 V","","102117","","Centaurus","136.9857377","0.72","",""
"10063","Flegetonte","HIP 57370","165.76","2.82","8.06","K0 V","","102195","","Virgo","94.52016364","0.84","",""
"10064","Aniara","HIP 57820","165.86","57.64","7.85","G5","","102956","","UrsaMajor","394.8776723","0.97","",""
"10065","Mazaalai","","171.27","41.03","11.56","G3","","_","HAT-P-21","UrsaMajor","","1.10","",""
"10066","Noquisi","HIP 57087","175.55","26.71","10.61","M3V","","","GJ 436","Leo","","1.45","",""
"10067","Tupã","HIP 60644","180.43","-64.02","7.00","F8/G0 V","","108147","","Crux","125.7659543","0.54","",""
"10068","Funi","HIP 61177","180.54","74.49","8.77","G0 V","","109246","","Draco","213.9586608","0.64","",""
"10069","Tuiren","","188.27","44.92","12.15","","","_","HAT-P-36","CanesVenatici","","0.82","",""
"10070","Gar","HIP 62452","191.99","9.75","11.40","M3.5V","","","GJ 486","Virgo","","1.56","",""
"10071","Lich","","195.01","12.68","","PSR","","","PSR B1257+12","Virgo","","","",""
"10072","Matza","HIP 65426","195.41","-51.50","7.01","A2V","","116434","","Centaurus","345.3384575","0.09","",""
"10073","Dofida","HIP 66047","195.54","-47.27","7.17","G2 V","","117618","","Centaurus","124.0047129","0.60","",""
"10074","Liesma","HIP 66192","195.57","53.73","8.05","K0","","118203","","UrsaMajor","288.8768138","0.70","",""
"10075","Dombay","","206.09","48.03","11.86","K1V","","_","HAT-P-3","UrsaMajor","","0.67","",""
"10076","Nyamien","","208.93","-32.16","10.91","F7","","_","WASP-15","Centaurus","","0.50","",""
"10077","Komondor","","209.39","43.49","12.84","K5","","","HAT-P-12","CanesVenatici","","-0.24","",""
"10078","Proxima Centauri","HIP 70890","210.50","-62.68","11.01","M5.5Ve","","","","Centaurus","4.246512307","1.81","12.1","13.12"
"10079","Arcalís","HIP 72845","210.89","18.24","7.96","K0","","131496","","Bootes","395.8235367","1.04","",""
"10080","Baekdu","HIP 73136","210.95","74.90","6.83","K0","","133086","","UrsaMinor","518.9149849","0.99","",""
"10081","Guahayona","","213.16","4.06","11.76","K1","","","HAT-P-26","Virgo","","0.57","",""
"10082","Malmok","","217.33","-3.44","12.09","","","_","WASP-39","Virgo","","0.84","",""
"10083","Mönch","HIP 72339","221.89","-0.28","8.03","K0V","","130322","","Virgo","97.06418855","0.80","",""
"10084","Nikawiy","HIP 74961","225.32","41.73","7.88","G5","","136418","","Bootes","346.9652888","0.94","",""
"10085","Karaka","HIP 76351","225.59","-80.20","8.71","K0/K1V","","137388","","Apus","125.3366201","0.89","",""
"10086","Dìwö","","239.96","-28.06","11.59","F4","","_","WASP-17","Scorpius","","0.24","",""
"10087","Kamuy","HIP 79219","240.17","26.74","6.57","K0","","145457","","CoronaBorealis","411.283352","1.04","",""
"10088","Sharjah","HIP 79431","240.21","-18.88","11.34","M3 V","","","","Scorpius","48.5973325","3.46","",""
"10089","Timir","HIP 80687","240.47","-13.40","6.90","K0 III/IV","","148427","","Ophiuchus","193.3455849","0.95","",""
"10090","Ogma","HIP 80838","240.51","38.35","8.15","G0","","149026","","Hercules","257.2070206","0.61","",""
"10091","Rosalíadecastro","HIP 81022","240.55","2.08","7.89","G3 V","","149143","","Ophiuchus","207.0767725","0.67","",""
"10092","Moldoveanu","","240.55","28.17","11.25","G1V","","_","XO-1","CoronaBorealis","","0.63","",""
"10093","Mahsati","HIP 82651","240.90","11.97","8.54","K0","","152581","","Ophiuchus","596.2793173","0.90","",""
"10094","Irena","","243.96","10.03","9.39","F8","","_","WASP-38","Hercules","","0.48","",""
"10095","Hunor","HIP 80076","245.15","41.05","8.69","F8V","","147506","HAT-P-2","Hercules","","0.46","",""
"10096","Rapeto","HIP 83547","255.08","-43.31","7.39","F8 V","","153950","","Scorpius","169.1773862","0.55","",""
"10097","Inquill","HIP 84787","255.33","-48.55","6.67","F8 IV/V","","156411","","Ara","179.71224","0.60","",""
"10098","Barnard's Star","HIP 87937","255.96","4.69","9.54","sdM4e","","","","Ophiuchus","5.937971133","1.57","9.55","9.57"
"10099","Orkaria","","258.83","4.96","14.71","M4.5V","","","GJ 1214","Ophiuchus","","","",""
"10100","Franz","","260.12","38.24","9.99","F5V","","_","HAT-P-14","Hercules","","0.42","",""
"10101","Pipoltr","","268.03","37.55","12.40","","","_","TrES-3 Parent Star","Hercules","","0.71","",""
"10102","Pincoya","HIP 88414","270.05","-28.56","9.83","K1/3","","164604","","Sagittarius","123.8742475","1.05","",""
"10103","Alasia","HIP 90004","270.36","-11.92","7.95","G5","","168746","","Serpens","140.6386902","0.72","",""
"10104","Kaveh","HIP 92895","270.93","4.27","8.03","G8 IV","","175541","","Serpens","416.0126167","0.90","",""
"10105","Chasoň","","274.41","36.62","11.95","","","_","HAT-P-5","Lyra","","","",""
"10106","Belel","HIP 95124","285.35","-23.62","7.55","K0 III","","181342","","Sagittarius","360.7943219","1.02","",""
"10107","Sika","HIP 95262","285.38","-32.92","7.85","G1 V","","181720","","Sagittarius","182.4193344","0.59","",""
"10108","Uruk","HIP 96078","285.53","16.47","8.97","F8 V","","231701","","Sagitta","353.7493383","0.52","",""
"10109","Petra","","303.17","-2.14","11.39","K7V","","_","WASP-80","Aquila","","0.87","",""
"10110","Sansuna","","303.20","18.10","10.40","F8","","_","HAT-P-34","Sagitta","","0.41","",""
"10111","Phoenicia","HIP 99711","303.50","-0.87","7.79","K2 V","","192263","","Aquila","64.87252853","0.94","7.79","7.82"
"10112","Moriah","","306.12","16.76","11.94","G8","","_","HAT-P-23","Delphinus","","2.10","",""
"10113","Wouri","","315.03","-5.09","9.87","","","","WASP-69","Aquarius","","1.06","",""
"10114","Sāmaya","HIP 106824","315.64","-31.74","8.56","F7 V","","205739","","PiscisAustrinus","294.6171614","0.54","",""
"10115","Bosona","HIP 107251","315.72","-7.41","8.35","K0 III","","206610","","Aquarius","554.6943487","1.03","",""
"10116","Itonda","HIP 108375","315.96","-37.76","7.47","G2 V","","208487","","Grus","143.5088565","0.55","",""
"10117","Solaris","HIP 104780","318.40","14.69","0.00","K5","","","BD +14 4559","Pegasus","","","",""
"10118","Lionrock","HIP 110813","330.45","-17.26","7.60","G8 IV","","212771","","Aquarius","397.2586064","0.89","",""
"10119","Taika","","335.51","45.46","11.34","","","_","HAT-P-40","Lacerta","","0.85","",""
"10120","Zembra","","339.03","-17.00","12.47","","","","HATS-72","Aquarius","","1.10","",""
"10121","Batsũ̀","","340.49","-69.17","15.26","","","","LHS 3844","Indus","","2.04","",""
"10122","Ebla","HIP 114322","345.15","-2.26","8.63","K3 V","","218566","","Pisces","97.65124548","1.01","",""
"10123","Poerava","HIP 116084","345.52","-58.21","7.81","F7 V","","221287","","Tucana","172.471553","0.51","",""
"10124","Axólotl","HIP 118319","346.00","-22.43","8.22","G2 IV","","224693","","Cetus","306.8154062","0.66","",""
"10125","Tangra","","347.49","18.40","11.55","G3V","","_","WASP-21","Pegasus","","0.57","",""
"10126","Márohu","","348.16","-22.67","11.91","G8V","","_","WASP-6","Aquarius","","0.99","",""
"10127","Anadolu","","348.49","8.76","12.00","K2V","","_","WASP-52","Pegasus","","0.90","",""
"10128","Danfeng","HIP 115211","350.03","-60.07","11.02","M2V","","","L 168-9","Tucana","","1.43","",""
"10129","Sterrennacht","","354.77","42.47","10.47","F8V","","_","HAT-P-6","Andromeda","","0.41","",""
"10130","Morava","","356.67","31.16","12.18","G1V","","_","WASP-60","Pegasus","","0.68","",""
"10131","Uúba","HIP 117883","358.67","-37.63","9.76","G7V","","","LTT 9779","Sculptor","","0.79","",""
"10132","Siwarha","-","88.79","7.41","","K to M","-","-","α Ori B","Orion","","","",""
"10133","Blaze Star","HIP 78322","239.88","25.92","10.25","M3IIIe_sh C","5958","143454","T CrB","CoronaBorealis","916.7509158","1.27","2","10.8"
"10134","Krios","-","357.98","59.71","9.70","","","","HD 240429","Cassiopeia","","","",""
"10135","Kronos","-","358.04","59.71","9.56","","","","HD 240430","Cassiopeia","","","",""
"10136","Pistol Star","-","266.56","-28.83","0.00","","","","V*4647 Sgr","Sagittarius","","","",""
"10137","Stella Ludoviciana","-","201.22","54.90","7.58","A5 E","-","116798","","UrsaMajor","","","",""
"10138","Sapaki","-","229.15","-58.17","16.25","WN6h D","-","-","WR 67-1","Circinus","","","",""
"10139","Bajamar Star","-","313.96","43.87","13.09","O3.5III(f*)+O8 C","-","-","2MASS J20555125+4352246","Cygnus","","","",""
"10140","Calvera","-","213.23","79.37","0.00","PSR","-","-","RX J1412.9+7922","UrsaMinor","","","",""
"10141","Holoea","-","84.02","34.10","18.62","K2IIIe","-","-","IRAS 05327+3404","Auriga","","","",""
"10142","Paloma","-","81.13","42.75","17.11","CV: AM/ DQ","-","-","2MASS J05243042+4244506","Auriga","","","18.5","16.1"
"10143","Speedy Mic","102626","311.94","-36.59","9.34","","-","197890","","Microscopium","","","",""
"10144","Red Rectangle","30089","94.99","-10.64","9.33","(A1+G)e","-","44179","V777 Mon","Monoceros","","","8.78","8.94"
"10145","Moth","36948","113.95","-32.20","8.22","G8Vk","-","61005","-","Puppis","120","","",""
"10146","Butterfly Star","-","68.32","22.89","0.00","YSO","-","-","-","Taurus","","","",""
"10147","Dust-Ball","-","56.21","32.32","11.22","A0","-","-","V927 Per","Perseus","","","",""
"10148","Flying Saucer","-","247.06","-24.53","0.00","YSO","-","-","-","Ophiuchus","","","",""
"10149","Necklace","-","296.00","17.15","0.00","RS CVn","-","-","-","Sagitta","","","",""
"10150","Peony Star","-","266.58","-29.03","0.00","WR, WN","-","-","-","Sagittarius","","","",""
"10151","Rosette Eye","-","98.66","4.21","0.00","YSO","-","-","-","Monoceros","","","",""
"10152","Southern Crab","-","212.97","-51.44","14.20","Sy, M:","-","-","V852 Cen","Centaurus","","","",""
"10153","Beehive Proplyd","-","83.83","-5.52","0.00","HH","-","-","HH 540","Orion","","","",""
