"exoID","IAU-name (exoplanet)","etymology","planet designator","theme","iAU-name (host star)","wgsnCat","star name etymology","constellation","country"
"1","Spe","From the latin ""Spes"", hope. The ablative form means ""where there is hope"". ","14 Andromedae b ","NEWC 2015","Veritate","8738","From the latin ""Veritas"", truth. The ablative form means ""where there is truth"".","Andromeda","Canada"
"2","Arion ","Arion was a genius of poetry and music in ancient Greece. According to legend, his life was saved at sea by dolphins after attracting their attention by the playing of his kithara. ","18 Delphini b ","NEWC 2015","Musica ","8014","Musica is Latin for ""music"". ","Delphinus","Japan"
"3","Orbitar ","Orbitar is a contrived word paying homage to the space launch and orbital operations of NASA. ","42 Draconis b ","NEWC 2015","Fafnir ","6945","Fafnir was a Norse mythological dwarf who turned into a dragon. ","Draco","USA"
"4","Taphao Thong ","Taphao Thong is one of two sisters associated with the Thai folk tale of Chalawan. ","47 Ursae Majoris b ","NEWC 2015","Chalawan ","3934","Chalawan is a mythological crocodile king from a Thai folktale. ","UrsaMajor","Thailand"
"5","Taphao Kaew ","Taphao Kae is one of two sisters associated with the Thai folk tale of Chalawan. ","47 Ursae Majoris c ","NEWC 2015","Chalawan ","3934","Chalawan is a mythological crocodile king from a Thai folktale. ","UrsaMajor","Thailand"
"6","Dimidium ","Dimidium is Latin for ""half"", referring to the planet's massof at least half the mass of Jupiter. ","51 Pegasi b ","NEWC 2015","Helvetios ","8708","Helvetios is the Latin for ""the Helvetian"" and refers to the Celtic tribe that lived in Switzerland during the Middle Ages. ","Pegasus","Switzerland"
"7","Galileo ","Galileo Galilei (1564-1642) was an Italian astronomer and physicist often called the ""father of observational astronomy"" and the ""father of modern physics"". Using a telescope, he discovered the four largest satellites of Jupiter, and the reported the first telescopic observations of the phases of Venus, among other discoveries. ","55 Cancri b ","NEWC 2015","Copernicus ","3135","Nicolaus Copernicus or Mikolaj Kopernik (1473-1543) was a Polish astronomer who proposed the heliocentric model of the solar system in his book ""De revolutionibus orbium coelestium"". ","Cancer","Netherlands"
"8","Brahe ","Tycho Brahe (1546-1601) was a Danish astronomer and nobleman who recorded accurate astronomical observations of the stars and planets. These observations were critical to Kepler's formulation of his three laws of planetary motion. ","55 Cancri c ","NEWC 2015","Copernicus ","3135","Nicolaus Copernicus or Mikolaj Kopernik (1473-1543) was a Polish astronomer who proposed the heliocentric model of the solar system in his book ""De revolutionibus orbium coelestium"". ","Cancer","Netherlands"
"9","Lipperhey* ","Hans Lipperhey (1570-1619) was a German-Dutch lens grinder and spectacle maker who is often attributed with the invention of the refracting telescope in 1608. (Note 6) ","55 Cancri d ","NEWC 2015","Copernicus ","3135","Nicolaus Copernicus or Mikolaj Kopernik (1473-1543) was a Polish astronomer who proposed the heliocentric model of the solar system in his book ""De revolutionibus orbium coelestium"". ","Cancer","Netherlands"
"10","Janssen ","Jacharias Janssen (1580s-1630s) was a Dutch spectacle maker who is often attributed with invention of the microscope, and more controversially with the invention of the telescope. ","55 Cancri e ","NEWC 2015","Copernicus ","3135","Nicolaus Copernicus or Mikolaj Kopernik (1473-1543) was a Polish astronomer who proposed the heliocentric model of the solar system in his book ""De revolutionibus orbium coelestium"". ","Cancer","Netherlands"
"11","Harriot ","Thomas Harriot (ca. 1560-1621) was an English astronomer, mathematician, ethnographer, and translator, who is attributed with the first drawing of the Moon through telescopic observations. ","55 Cancri f ","NEWC 2015","Copernicus ","3135","Nicolaus Copernicus or Mikolaj Kopernik (1473-1543) was a Polish astronomer who proposed the heliocentric model of the solar system in his book ""De revolutionibus orbium coelestium"". ","Cancer","Netherlands"
"12","Amateru","""Amateru"" is a common Japanese appellation for shrines when they enshrine Amaterasu, the Shinto goddess of the Sun, born from the left eye of the god Izanagi. (Note 2) ","Ain b (epsilon Tauri b) ","NEWC 2015","Ain","1449","Ain is Arabic and means ""eye"".","Taurus","Japan"
"13","Hypatia ","Hypatia was a famous Greek astronomer, mathmatician, and philosopher. She was head of the Neo-Platonic school at Alexandria in the early 5th century, until murdered by a Christian mob in 415. ","Edasich b (iota Draconis b) ","NEWC 2015","Edasich","5741","Applied in recent times from its ind-A name al-dhikh, ""the Male Hyena.""","Draco","Spain"
"14","AEgir","AEgir is Ran's husband, the personified god of the ocean. “AEgir” and “Ran” both represent the “Jotuns” who reign in the outer Universe; together they had nine daughters. (Note 3) ","epsilon Eridani b ","NEWC 2015","Ran","1123","Ran is the Norse goddess of the sea, who stirs up the waves and captures sailors with her net. ","Eridanus","USA"
"15","Tadmor","Ancient Semitic name and modern Arabic name for the city of Palmyra, a UNESCO World Heritage Site. ","Errai b (gamma Cephei b) ","NEWC 2015","Errai","8742","Applied in recent times from its ind-A name al-ra'i, ""the Shepherd"". This shepherd, with the sheep he attended (al-aghnam, marked by the various dim stars nearby), and the shepherd's dog (kalb al-ra'i,marked by 28/29 [ρ] Cep), seem to form a complete group of ind-A figures.","Cepheus","Syrian Arab Republic "
"16","Dagon ","Dagon was a Semitic deity, often represented as half-man, half-fish. ","Fomalhaut b (alpha Piscis Austrini b) ","NEWC 2015","Fomalhaut","8710","Applied in recent times from its ind-A name al-ra'i, ""the Shepherd"". This shepherd, with the sheep he attended (al-aghnam, marked by the various dim stars nearby), and the shepherd's dog (kalb al-ra'i,marked by 28/29 [ρ] Cep), seem to form a complete group of ind-A figures.","PiscisAustrinus","USA"
"17","Meztli ","Meztli was the Aztec goddess of the Moon. ","HD 104985 b ","NEWC 2015","Tonatiuh ","4591","Tonatiuh was the Aztec god of the Sun. ","Camelopardalis","Mexico"
"18","Smertrios ","Smertrios was a Gallic deity of war. ","HD 149026 b ","NEWC 2015","Ogma","10090","Ogma was a deity of eloquence, writing, and great physical strength in the Celtic mythologies of Ireland and Scotland, and may be related to the Gallo-Roman deity ""Ogmios"".","Hercules","France"
"19","Arkas ","Arkas was the son of Callisto (UrsaMajor) in Greek mythology. ","HD 81688 b ","NEWC 2015","Intercrus ","3730","Intercrus means ""between the legs"" in Latin style, referring to the star's position in the constellation Ursa Major. ","UrsaMajor","Japan"
"20","Quijote ","Lead fictional character from Cervantes's ""El Ingenioso Hidalgo Don Quixote de la Mancha"". ","mu Arae b ","NEWC 2015","Cervantes","6653","Miguel de Cervantes Saavedra (1547-1616) was a famous Spanish writer and author of ""El Ingenioso Hidalgo Don Quixote de la Mancha"". ","Ara","Spain"
"21","Dulcinea ","Fictional character and love interest of Don Quijote (or Quixote) in Cervantes's ""El Ingenioso Hidalgo Don Quixote de la Mancha"". ","mu Arae c ","NEWC 2015","Cervantes ","6653","Miguel de Cervantes Saavedra (1547-1616) was a famous Spanish writer and author of ""El Ingenioso Hidalgo Don Quixote de la Mancha"". ","Ara","Spain"
"22","Rocinante ","Fictional horse of Don Quijote in Cervantes's ""El Ingenioso Hidalgo Don Quixote de la Mancha"". ","mu Arae d ","NEWC 2015","Cervantes ","6653","Miguel de Cervantes Saavedra (1547-1616) was a famous Spanish writer and author of ""El Ingenioso Hidalgo Don Quixote de la Mancha"". ","Ara","Spain"
"23","Sancho ","Fictional squire of Don Quijote in Cervantes's ""El Ingenioso Hidalgo Don Quixote de la Mancha"". ","mu Arae e ","NEWC 2015","Cervantes ","6653","Miguel de Cervantes Saavedra (1547-1616) was a famous Spanish writer and author of ""El Ingenioso Hidalgo Don Quixote de la Mancha"". ","Ara","Spain"
"24","Thestias","Thestias is the patronym of Leda and her sister Althaea, the daughters of Thestius. Leda was a Greek goddess, mother of Pollux and of his twin Castor, and of Helen and Clytemnestra. (Note 5) ","Pollux b (beta Geminorum b) ","NEWC 2015","Pollux","2980","Pollux is the Latin form of the Greek hero Polydeukes.","Gemini","Austalia"
"25","Draugr ","Draugr refers to undead creatures in Norse mythology. ","PSR 1257+12 b ","NEWC 2015","Lich","10071","Lich is a fictional undead creature known for controlling other undead creatures with magic. ","Virgo","Italy"
